Telescope,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined
Band,HPSO 01c,HPSO 01s,HPSO 02A,HPSO 02B,HPSO 13c,HPSO 13s,HPSO 14c,HPSO 14s,HPSO 15c,HPSO 15s,HPSO 22,HPSO 27,HPSO 33,HPSO 37a,HPSO 37b,HPSO 37c,HPSO 38a,HPSO 38b,HPSO max_Band5_MID_continuum,HPSO max_Band5_MID_spectral,HPSO max_LOW_continuum,HPSO max_LOW_spectral,HPSO max_MID_continuum,HPSO max_MID_spectral
Mode,Continuum,Spectral,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral
BL-dependent averaging,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
W kernel support bw10 [uv-pixels],,,,,62.19867444727461,116.93432790280167,53.421969845552375,54.714558477453004,53.45156046792862,26.272976554971496,28.98714396714894,48.438779503689936,48.438779503689936,48.97263614827645,48.97263614827645,48.438779503689936,25.31134525507817,25.31134525507817,23.790760310691184,38.34862153371925,,,15.412318066456516,90.64512084046335
W kernel support bw11 [uv-pixels],,,,,76.49524519299813,130.58617304848153,59.589018712796246,61.03257655559542,59.62206467175812,29.285648189375515,32.31360931974785,60.26183770051394,60.26183770051394,60.927559713573345,60.927559713573345,60.26183770051394,28.212933216457177,28.212933216457177,26.516799372535775,42.760214309354424,,,19.13712974647218,101.183527785795
AW kernel support bw0 [uv-pixels],10.4103527894128,10.691029008444577,10.410349058375594,10.410349058375594,11.306709368992262,14.007066974389002,10.983055282761047,11.028312193573008,10.984081718317459,10.250246133913436,10.303286511087569,10.762850566007224,10.762850566007224,10.705704781221204,10.705704781221204,10.762850521363019,10.232614963482558,10.232614963482558,10.205990331306518,10.522173534458645,10.355242647918637,10.45938565010023,10.050763241198071,12.58555278383833
AW kernel support bw1 [uv-pixels],10.706627937033835,11.179735551015796,10.706621595929308,10.706621595929308,12.299729528187555,16.65611163479308,11.746732673490952,11.824620963052167,11.748501314222796,10.455796854337104,10.551331609953174,11.364936562906838,11.364936562906838,11.265054776788826,11.265054776788826,11.364936485009007,10.423959161563062,10.423959161563062,10.37580380424005,10.94187985107196,10.61280668227313,10.7898383874867,10.09314365999908,14.409761375645145
AW kernel support bw2 [uv-pixels],11.224588386790183,12.01673154621839,11.224577635479928,11.224577635479928,13.383982810684032,19.34096117839354,12.59366623409124,12.70569301764608,12.59621282512443,10.694528647221993,10.838273187591398,12.040775373216585,12.040775373216585,11.895035308058667,11.895035308058667,12.04077525973954,10.646490941337285,10.646490941337285,10.573702689933569,11.420046164806301,11.065088407829405,11.36534428004616,10.143154600928506,16.31541073598782
AW kernel support bw3 [uv-pixels],12.06561336793998,13.33787952130083,12.065595814893086,12.065595814893086,15.681600779884395,24.623171446358946,14.422836168462473,14.603027171961477,14.426939296236847,11.015088897781514,11.496247235641407,13.52365017650363,13.52365017650363,13.283620866497511,13.283620866497511,13.523649990131435,11.16119235887227,11.16119235887227,11.032994958731106,12.49128399322876,11.804244827629432,12.294697510696913,10.261778672008703,20.168242717141844
AW kernel support bw4 [uv-pixels],13.451254029553743,15.440347975844118,13.451226044437687,13.451226044437687,20.3910604266442,34.62553841401123,18.266211606714844,18.573853416619773,18.273231331016046,12.53498600342957,13.01741465366998,16.70985681302827,16.70985681302827,16.28760183697006,16.28760183697006,16.70985648638292,12.371107821348556,12.371107821348556,12.120073990809098,14.868752541581717,13.032584076344559,13.815061398875741,10.556286621412793,27.65792059175914
AW kernel support bw5 [uv-pixels],15.583138761467016,18.558351467314655,15.58309608286404,15.58309608286404,25.01189964089974,43.96845842516838,22.106873663056323,22.529881300571365,22.116536093356714,13.960180320771089,14.675928486221594,19.95116771735443,19.95116771735443,19.36102802435748,19.36102802435748,19.951167261803974,13.715006063652421,13.715006063652421,13.33723464639087,17.357019192286728,14.941437549453736,16.13571694452445,10.907466008667061,34.75825947302942
AW kernel support bw6 [uv-pixels],22.460718640303792,23.089948745257793,22.460718640303792,22.460718640303792,33.81364421708756,48.443487610202915,29.514290753170346,30.143580539008042,29.528679343301704,16.963102195152338,18.120925741229076,26.285055420191643,26.285055420191643,25.39329041898007,25.39329041898007,26.28505473325097,16.562090616728344,16.562090616728344,15.939193691585084,22.33206031148813,21.29706851448629,19.596235527857747,11.724863410909206,48.00299120988388
AW kernel support bw7 [uv-pixels],46.19449772013973,32.715041952914135,46.19449772013973,46.19449772013973,42.09508191134043,77.27376120523603,36.537215514497824,37.352484570227055,36.55586437602559,20.00154924167025,21.565503720394794,32.34097198248843,32.34097198248843,31.17765697046948,31.17765697046948,32.3409710872218,19.456392859222277,19.456392859222277,18.605471063523456,27.16406846656801,43.31787094524461,27.120245648883863,12.641202249676981,60.31837099559763
AW kernel support bw8 [uv-pixels],,,,,48.03249473220828,88.68902146662694,41.588475320045674,42.53456598717368,41.6101204163707,22.25757678655769,24.10683965227756,36.71278389109229,36.71278389109229,35.35889824168738,35.35889824168738,36.71278284958757,21.61095479737214,21.61095479737214,20.599216472488525,30.677638585172925,,,13.368703803276047,69.10776706954024
AW kernel support bw9 [uv-pixels],,,,,55.65427921679292,103.30272194902844,48.08412544217425,49.19633507748377,48.10957465502563,25.215849767986835,27.42547057609898,42.346477462639314,42.346477462639314,40.751092203943514,40.751092203943514,42.34647623576977,24.441012102621475,24.441012102621475,23.225936326076077,35.22468029844365,,,15.600806791373424,80.36477791925664
AW kernel support bw10 [uv-pixels],,,,,62.99742139959422,117.36113940346667,54.34985613761187,55.62088555014765,54.37894184752614,28.111728816600408,30.66356984064672,49.46024019156288,49.46024019156288,49.983188086710456,49.983188086710456,49.46024019156288,27.215146492748637,27.215146492748637,25.806981151633355,39.63100772799547,,,18.372249404512825,91.1950543186537
AW kernel support bw11 [uv-pixels],,,,,77.14611161385194,130.96850228756514,60.42227363443039,61.84638551293532,60.45486411963315,30.945907481795928,33.825572386425264,61.08591558651702,61.08591558651702,61.742752875548454,61.742752875548454,61.08591558651702,29.93275130482116,29.93275130482116,28.33973621901435,43.913960511230584,,,21.59235362190306,101.67647857385083
"W kernel support bw, ff0 [pixels]",83.2828223153024,85.52823206755662,83.28279246700475,83.28279246700475,90.4536749519381,112.05653579511201,87.86444226208837,88.22649754858406,87.87265374653967,82.00196907130749,82.42629208870055,86.10280452805779,86.10280452805779,85.64563824976963,85.64563824976963,86.10280417090415,81.86091970786046,81.86091970786046,81.64792265045214,84.17738827566916,82.84194118334909,83.67508520080185,80.40610592958457,100.68442227070663
"W kernel support bw, ff1 [pixels]",85.65302349627068,89.43788440812637,85.65297276743446,85.65297276743446,98.39783622550044,133.24889307834465,93.97386138792761,94.59696770441734,93.98801051378237,83.64637483469683,84.41065287962539,90.9194925032547,90.9194925032547,90.12043821431061,90.12043821431061,90.91949188007206,83.39167329250449,83.39167329250449,83.0064304339204,87.53503880857568,84.90245345818504,86.3187070998936,80.74514927999265,115.27809100516116
"W kernel support bw, ff2 [pixels]",89.79670709432146,96.13385236974712,89.79662108383943,89.79662108383943,107.07186248547225,154.7276894271483,100.74932987272992,101.64554414116864,100.76970260099544,85.55622917777595,86.70618550073118,96.32620298573268,96.32620298573268,95.16028246446933,95.16028246446933,96.32620207791632,85.17192753069828,85.17192753069828,84.58962151946855,91.36036931845041,88.52070726263524,90.92275424036929,81.14523680742805,130.52328588790257
