Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Coalesce time bw10 [s],,,,,,,,,,0.14,1.1666666666666667,1.1666666666666667,0.46666666666666673,0.46666666666666673,0.35000000000000003,0.9333333333333335,0.14,0.14
Coalesce time bw11 [s],,,,,,,,,,0.14,1.1666666666666667,1.1666666666666667,0.46666666666666673,0.46666666666666673,0.35000000000000003,0.9333333333333335,0.14,0.14
Combined Samples0,25.0,9.0,9.0,25.0,25.0,25.0,13.0,13.0,14.0,41.0,15.0,15.0,41.0,41.0,41.0,23.0,23.0,36.0
Combined Samples1,17.0,6.0,6.0,17.0,17.0,17.0,9.0,9.0,10.0,27.0,10.0,10.0,27.0,27.0,27.0,15.0,15.0,24.0
Combined Samples2,12.0,4.0,4.0,12.0,12.0,12.0,6.0,6.0,6.0,20.0,7.0,7.0,20.0,20.0,20.0,11.0,11.0,18.0
Combined Samples3,8.0,3.0,3.0,8.0,8.0,8.0,4.0,4.0,4.0,13.0,5.0,5.0,13.0,13.0,13.0,7.0,7.0,12.0
Combined Samples4,5.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,3.0,8.0,3.0,3.0,8.0,8.0,8.0,4.0,4.0,7.0
Combined Samples5,3.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,5.0
Combined Samples6,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0
Combined Samples7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
Combined Samples8,,,,,,,,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
Combined Samples9,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined Samples10,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined Samples11,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
