Telescope,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined
Band,HPSO 01c,HPSO 01s,HPSO 02A,HPSO 02B,HPSO 13c,HPSO 13s,HPSO 14c,HPSO 14s,HPSO 15c,HPSO 15s,HPSO 22,HPSO 27,HPSO 33,HPSO 37a,HPSO 37b,HPSO 37c,HPSO 38a,HPSO 38b,HPSO max_Band5_MID_continuum,HPSO max_Band5_MID_spectral,HPSO max_LOW_continuum,HPSO max_LOW_spectral,HPSO max_MID_continuum,HPSO max_MID_spectral
Mode,Continuum,Spectral,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral
BL-dependent averaging,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Coalesce time pred5 [s],1.2,1.2,1.2,1.2,0.42000000000000004,0.5250000000000001,0.42000000000000004,0.42000000000000004,0.42000000000000004,1.2,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,1.2,1.2,0.42000000000000004,0.42000000000000004
Coalesce time pred6 [s],0.9,0.9,0.9,0.9,0.28,0.5250000000000001,0.28,0.28,0.28,1.2,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.9,0.9,0.28,0.28
Coalesce time pred7 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.2,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time pred8 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.2,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Coalesce time pred9 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.2,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Coalesce time pred10 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.2,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Coalesce time pred11 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.2,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Coalesce time bw0 [s],10.0,10.0,10.0,10.0,8.4,3.150000000000001,8.05,3.5000000000000004,8.4,3.2307692307692313,5.6000000000000005,8.4,8.4,8.05,8.05,8.4,5.366666666666667,5.366666666666667,5.366666666666667,5.366666666666667,10.0,10.0,10.0,10.0
Coalesce time bw1 [s],8.1,8.1,8.1,8.1,5.6000000000000005,2.1000000000000005,5.250000000000001,2.24,5.6000000000000005,1.6153846153846156,3.733333333333334,5.6000000000000005,5.6000000000000005,5.250000000000001,5.250000000000001,5.6000000000000005,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,8.1,8.1,8.75,7.000000000000001
Coalesce time bw2 [s],5.4,5.4,5.4,5.4,4.2,1.5750000000000004,3.8500000000000005,1.6800000000000002,4.2,1.6153846153846156,2.8000000000000003,4.2,4.2,3.8500000000000005,3.8500000000000005,4.2,2.566666666666667,2.566666666666667,2.566666666666667,2.566666666666667,5.4,5.4,6.416666666666667,5.133333333333334
Coalesce time bw3 [s],3.6,3.6,3.6,3.6,2.8000000000000003,1.0500000000000003,2.45,1.12,2.8000000000000003,1.6153846153846156,1.866666666666667,2.8000000000000003,2.8000000000000003,2.45,2.45,2.8000000000000003,1.6333333333333335,1.6333333333333335,1.6333333333333335,1.6333333333333335,3.6,3.6,4.083333333333334,3.266666666666667
Coalesce time bw4 [s],2.7,1.8,2.7,2.7,1.4000000000000001,0.5250000000000001,1.4000000000000001,0.7000000000000001,1.4000000000000001,1.6153846153846156,0.9333333333333335,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,0.9333333333333335,0.9333333333333335,0.9333333333333335,0.9333333333333335,2.7,1.8,2.3333333333333335,1.866666666666667
