,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
"Channels predict, no-smear5",,,,,,,,,,,,,,,,,,,,,,,,,2693.7944938813216,,1546.4498404991725,,,,4411.657503381265,,1827.9272615478014,1827.9272615478014,2820.825313173438,2820.825313173438,5140.550873089399,,,,,,,,,,,,,,2693.7944938813216,,4055.6218284109505,4055.6218284109505,6258.565537827592,6258.565537827592,,6845.243234720015,8450.855341013887,8450.855341013887,8450.855341013887,,,,,,3911.681264714464,4563.583925007532,3380.5013190529257,2535.4423137715403,,3911.681264714464,3911.681264714464,3380.5013190529257,2535.4423137715403,,5476.2476490649415,5476.2476490649415,8450.855341013887,3380.5013190529257,,4573.8161227602595,3811.551099692947,7058.235456070325,7058.235456070325,,4573.8161227602595,4573.8161227602595,7058.235456070325,7058.235456070325,,,,,,,,,,,6328.623220362096,22763.7496469424,6328.623220362096,7031.742547520076,7031.742547520076,5273.94422883101,6407.316073781323,,,4411.657503381265,12342.399333294128,4411.657503381265,3812.5853877207524,3812.5853877207524,2859.516111832105,5210.882667312964,,,4372.54571711229,8738.01651794635,4372.54571711229,6747.637852514593,4048.669516720438,4048.669516720438,12296.60828776359,,,3434.473758490444,6863.38674384752,3434.473758490444,5300.019225641703,5300.019225641703,5300.019225641703,9658.526623496717,,,2714.492961515096,5424.596864260952,2714.492961515096,2513.429159987876,2513.429159987876,4188.960838894559,7633.786636380734,,,2186.6016716181684,3495.7659351295993,2186.6016716181684,2699.4874613683787,2699.4874613683787,2699.4874613683787,4919.429719464374,
"Channels predict, no-smear6",,,,,,,,,,,,,,,,,,,,,,,,,4232.997211799672,,2430.074005579481,,,,6932.428481437218,,2089.046554398382,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,,,,,,,,,,,,,,4232.997211799672,,6373.004172057256,6373.004172057256,9834.772857149546,9834.772857149546,,9778.805203194423,12072.536783162257,12072.536783162257,12072.536783162257,,,,,,6146.776099231232,7171.194564597031,5312.06475692582,3984.1148936492104,,6146.776099231232,6146.776099231232,5312.06475692582,3984.1148936492104,,8605.380415891032,8605.380415891032,13279.763930416846,5312.06475692582,,7187.29620064201,5989.451165093498,11091.383723198613,11091.383723198613,,7187.29620064201,7187.29620064201,11091.383723198613,11091.383723198613,,,,,,,,,,,9944.665471916558,35771.292703005485,9944.665471916558,11049.567270263373,11049.567270263373,8287.312773910124,10068.325669960492,,,6932.428481437218,19395.02278134777,6932.428481437218,5991.0294435878495,5991.0294435878495,4493.349155498813,8188.353738004776,,,6871.019262117228,13731.04480464506,6871.019262117228,10603.30690224929,6362.070947466424,6362.070947466424,19323.11758529115,,,5396.93067846595,10785.222511252052,5396.93067846595,8328.502125879368,8328.502125879368,8328.502125879368,15177.585178913405,,,4265.556572763876,8524.291276080465,4265.556572763876,3949.5991705173633,3949.5991705173633,6582.577522215963,11995.875203381569,,,3436.0377307500003,5493.295858679581,3436.0377307500003,4242.001114423948,4242.001114423948,4242.001114423948,7730.481805313027,
"Channels predict, no-smear7",,,,,,,,,,,,,,,,,,,,,,,,,5772.199928863089,,3313.6981701789073,,,,9453.19945809229,,,,,,,,,,,,,,,,,,,,5772.199928863089,,8690.38651503596,8690.38651503596,13410.980176081997,13410.980176081997,,,,,,,,,,,8381.87093257496,9778.805203194423,7243.628193459831,5432.787471740869,,8381.87093257496,8381.87093257496,7243.628193459831,5432.787471740869,,11734.513181907203,11734.513181907203,18108.672519208772,7243.628193459831,,9800.776277769013,8167.351229610696,15124.531989867131,15124.531989867131,,9800.776277769013,9800.776277769013,15124.531989867131,15124.531989867131,,,,,,,,,,,13560.707720387763,48778.83575805354,13560.707720387763,15067.391990198219,15067.391990198219,11300.681315299544,13729.335263104213,,,9453.19945809229,26447.64622874797,9453.19945809229,8169.473497854613,8169.473497854613,6127.1821970076,11165.824807523442,,,9369.492806415708,18724.073090943526,9369.492806415708,14458.975951528024,8675.47237749329,8675.47237749329,26349.62688235958,,,7359.387597860168,14707.05827828941,7359.387597860168,11356.985025790955,11356.985025790955,11356.985025790955,20696.643734048208,,,5816.620183612246,11623.985687681801,5816.620183612246,5385.769180622001,5385.769180622001,8976.19420530767,16357.963770226615,,,4685.473789635364,7490.825782099815,4685.473789635364,5784.514767308252,5784.514767308252,5784.514767308252,10541.533891021449,
"Channels predict, no-smear8",,,,,,,,,,,,,,,,,,,,,,,,,6926.601966421829,,3976.416293492524,,,,11343.777690213876,,,,,,,,,,,,,,,,,,,,6926.601966421829,,10428.4232721203,10428.4232721203,16093.135665209433,16093.135665209433,,,,,,,,,,,10058.192057312433,11734.513181907203,8692.300770509128,6519.291904838624,,10058.192057312433,10058.192057312433,8692.300770509128,6519.291904838624,,14081.36275621053,14081.36275621053,21730.353960832246,8692.300770509128,,11760.88633545867,9800.776277769013,18149.39318963302,18149.39318963302,,11760.88633545867,11760.88633545867,18149.39318963302,18149.39318963302,,,,,,,,,,,16272.739405947037,58534.493049076,16272.739405947037,18080.76052947859,18080.76052947859,13560.707720387763,16475.092457200582,,,11343.777690213876,31737.113814226475,11343.777690213876,9803.306538131448,9803.306538131448,7352.556977594775,13398.928109336666,,,11243.34796445438,22468.844305677696,11243.34796445438,17350.727738383684,10410.523449761204,10410.523449761204,31619.508855287142,,,8831.230287258184,17648.435103629192,8831.230287258184,13628.347200527185,13628.347200527185,13628.347200527185,24835.937650170927,,,6979.91789160953,13948.756496420494,6979.91789160953,6462.896688077755,6462.896688077755,10771.406717543246,19629.530195501968,,,5622.550833767074,8988.973224644848,5622.550833767074,6941.400006915847,6941.400006915847,6941.400006915847,12649.822955330317,
"Channels predict, no-smear9",,,,,,,,,,,,,,,,,,,,,,,,,8465.804683062097,,4860.040457849356,,,,13864.548666143593,,,,,,,,,,,,,,,,,,,,8465.804683062097,,12745.80561478502,12745.80561478502,19669.342983940514,19669.342983940514,,,,,,,,,,,12293.286890062791,14342.123819976441,10623.864206351685,7967.9644820068215,,12293.286890062791,12293.286890062791,10623.864206351685,7967.9644820068215,,14863.645947578823,14863.645947578823,22937.581107860868,9175.19162948914,,14374.366412224357,11978.676341888648,22182.5414561377,22182.5414561377,,14374.366412224357,14374.366412224357,22182.5414561377,22182.5414561377,,,,,,,,,,,19888.781652859445,71542.03610356698,19888.781652859445,22098.585247986757,22098.585247986757,16574.07625990824,20136.102048760997,,,13864.548666143593,38789.737261594215,13864.548666143593,11981.750591556696,11981.750591556696,8986.39001802265,16376.399178261838,,,13741.821508373107,27461.872591764837,13741.821508373107,21206.396787594203,12723.924879435377,12723.924879435377,38646.01815217868,,,10793.687206394625,21570.270870563025,10793.687206394625,16656.83010023241,16656.83010023241,16656.83010023241,30354.996205185125,,,8530.981502249522,17048.45090799035,8530.981502249522,7899.0666979190055,7899.0666979190055,13165.023400438648,23991.618762418533,,,6871.986892542499,10986.503148049804,6871.986892542499,8483.913659718617,8483.913659718617,8483.913659718617,15460.87504118423,
"Channels predict, no-smear10",,,,,,,,,,,,,,,,,,,,,,,,,10005.007399588114,,5743.6646221473065,,,,16385.319641927366,,,,,,,,,,,,,,,,,,,,10005.007399588114,,15063.187957426973,15063.187957426973,23245.550302517167,23245.550302517167,,,,,,,,,,,14528.381722726019,16949.734457906787,12555.427642058461,9416.637058985098,,14528.381722726019,14528.381722726019,12555.427642058461,9416.637058985098,,,,,,,16987.846488913263,14156.576405879654,26215.689722525978,26215.689722525978,,16987.846488913263,16987.846488913263,26215.689722525978,26215.689722525978,,,,,,,,,,,23504.823899465737,84549.57915900485,23504.823899465737,26116.409966266117,26116.409966266117,19587.444798963337,23797.11164003949,,,16385.319641927366,45842.360708727,16385.319641927366,14160.194644853267,14160.194644853267,10620.22305818207,19353.87024708186,,,16240.295052214517,32454.900877828833,16240.295052214517,25062.065836560167,15037.326308886926,15037.326308886926,45672.52744954128,,,12756.144125484823,25492.106637455006,12756.144125484823,19685.312999888833,19685.312999888833,19685.312999888833,35874.05476068143,,,10082.04511280974,20148.145319474246,10082.04511280974,9335.236707718514,9335.236707718514,15558.640083399476,28353.707329037818,,,8121.422951328106,12984.033071312198,8121.422951328106,10026.427312422024,10026.427312422024,10026.427312422024,18271.927126731895,
"Channels predict, no-smear11",,,,,,,,,,,,,,,,,,,,,,,,,11544.210115994983,,6627.288786413514,,,,18906.090617660288,,,,,,,,,,,,,,,,,,,,11544.210115994983,,17380.570299965282,17380.570299965282,26821.757621142282,26821.757621142282,,,,,,,,,,,16763.476555282203,19557.345095862493,14486.991077609053,10865.309635809857,,16763.476555282203,16763.476555282203,14486.991077609053,10865.309635809857,,,,,,,19601.326565676056,16334.476469786141,30248.837988860792,30248.837988860792,,19601.326565676056,19601.326565676056,30248.837988860792,30248.837988860792,,,,,,,,,,,27120.86614583087,97557.12221209386,27120.86614583087,30134.234684264968,30134.234684264968,22600.813337856664,27458.1212310528,,,18906.090617660288,52894.984155741186,18906.090617660288,16338.63869792686,16338.63869792686,12254.056098219922,22331.341315751484,,,18738.76859601465,37447.92916390444,18738.76859601465,28917.734885444417,17350.727738383684,17350.727738383684,52699.03674708295,,,14718.601044502839,29413.942404538575,14718.601044502839,22713.79589957005,22713.79589957005,22713.79589957005,41393.113314935865,,,11633.108723404564,23247.839731027292,11633.108723404564,10771.406717543246,10771.406717543246,17952.256766271028,32715.795896124608,,,9370.859010063861,14981.56299476489,9370.859010063861,11568.940965195548,11568.940965195548,11568.940965195548,21082.97921259454,
"Channels backward, no-smear0",(undefined),1789.4312556780048,1789.4312556780048,663.1885345814411,663.1885345814411,1288.353070402745,(undefined),(undefined),1789.4312556780048,1193.1851449561725,663.1885345814411,663.1885345814411,1288.353070402745,(undefined),(undefined),1789.4312556780048,1193.1851449561725,663.1885345814411,663.1885345814411,1288.353070402745,(undefined),(undefined),1096.525415763204,(undefined),384.9903927136422,(undefined),221.01357928574132,(undefined),1096.525415763204,(undefined),630.500997159299,(undefined),261.21149632239513,261.21149632239513,403.0540788670101,403.0540788670101,734.4434476774929,(undefined),322.2189921177397,358.008708207243,497.1909356825173,497.1909356825173,279.28085374879674,(undefined),257.9547512531722,716.3789380602059,398.02881001253394,398.02881001253394,25.664246596024633,(undefined),384.9903927136422,(undefined),579.5482945194844,579.5482945194844,894.2545468709208,894.2545468709208,(undefined),978.1192792840136,1207.4924417886202,1207.4924417886202,1207.4924417886202,(undefined),2034.5730199598029,2511.6897145573553,2511.6897145573553,(undefined),559.0389802377872,652.167937578682,483.15612439994436,362.43339351431086,(undefined),559.0389802377872,559.0389802377872,483.15612439994436,362.43339351431086,(undefined),782.5484754593473,782.5484754593473,1207.4924417886202,483.15612439994436,(undefined),653.5959856457442,544.700977250144,1008.5130422414231,1008.5130422414231,(undefined),653.5959856457442,653.5959856457442,1008.5130422414231,1008.5130422414231,(undefined),2512.698790060951,1809.0904657256951,2512.698790060951,931.2414905129898,931.2414905129898,931.2414905129898,1809.0904657256951,(undefined),(undefined),904.5597563976627,3252.4350388181706,904.5597563976627,1005.0053854489457,1005.0053854489457,753.8913072681331,915.8015939374465,(undefined),(undefined),630.500997159299,1763.4641473468378,630.500997159299,544.9192586195416,544.9192586195416,408.7664859499846,744.6760281255881,(undefined),(undefined),624.8353800384707,1248.474078168412,624.8353800384707,964.1342651844309,578.5673494422896,578.5673494422896,1756.8443345598678,(undefined),(undefined),490.78836247459066,980.6330847493856,490.78836247459066,757.2948648839946,757.2948648839946,757.2948648839946,1379.9387847644127,(undefined),(undefined),387.89753303595126,775.0552407156821,387.89753303595126,359.17413165102994,359.17413165102994,598.5358063662928,1090.6537817006797,(undefined),(undefined),312.4475764035551,499.4710456886,312.4475764035551,385.7169764969673,385.7169764969673,385.7169764969673,702.8515877930889,(undefined)
"Channels backward, no-smear1",,3578.169498413163,3578.169498413163,1325.6842841487744,1325.6842841487744,2576.0131800688873,,,3578.169498413163,2385.6773440448724,1325.6842841487744,1325.6842841487744,2576.0131800688873,,,3578.169498413163,2385.6773440448724,1325.6842841487744,1325.6842841487744,2576.0131800688873,,,2192.6272644305495,,577.3907426384637,,331.46660562125743,,2192.6272644305495,,945.5973858340815,,391.7711462657152,391.7711462657152,604.5350169007022,604.5350169007022,1101.6190674725092,,483.27271301923463,536.9572860809892,745.7306245903046,745.7306245903046,418.90275499589205,,386.88655543856316,1074.522829922399,596.9976404288616,596.9976404288616,38.494609457539404,,577.3907426384637,,869.2210952001216,869.2210952001216,1341.280466795748,1341.280466795748,,1467.0462818524363,1811.1060218133737,1811.1060218133737,1811.1060218133737,,3051.5849180597625,3767.259952131288,3767.259952131288,,838.4258482659727,978.1192792840136,724.6015700009231,543.5174871479519,,838.4258482659727,838.4258482659727,724.6015700009231,543.5174871479519,,1173.6900811103947,1173.6900811103947,1811.1060218133737,724.6015700009231,,980.28100389151,816.9384956364858,1512.656581147074,1512.656581147074,,980.28100389151,980.28100389151,1512.656581147074,1512.656581147074,,5024.424813405256,3617.208237988821,5024.424813405256,1861.5105341316757,1861.5105341316757,1861.5105341316757,3617.208237988821,,,1356.5650741686497,4878.377930924128,1356.5650741686497,1507.2335084877068,1507.2335084877068,1130.5624189861267,1373.4278293411337,,,945.5973858340815,2645.042084215139,945.5973858340815,817.2247845994948,817.2247845994948,612.9956417281602,1116.8599258645493,,,937.1445813732993,1872.6026181108641,937.1445813732993,1446.0929017246065,867.7425371530907,867.7425371530907,2635.15799966488,,,736.0954842024919,1470.8625590408603,736.0954842024919,1135.855231776643,1135.855231776643,1135.855231776643,2069.8211065762466,,,581.7804893085284,1162.5170446296113,581.7804893085284,538.6953882234403,538.6953882234403,897.7378949369104,1635.9148543099343,,,468.627086529404,749.1622878457075,468.627086529404,578.531185344861,578.531185344861,578.531185344861,1054.2330997398833,
"Channels backward, no-smear2",,7155.645916780303,7155.645916780303,2650.675602311196,2650.675602311196,5151.333306208186,,,7155.645916780303,4770.661641597791,2650.675602311196,2650.675602311196,5151.333306208186,,,7155.645916780303,4770.661641597791,2650.675602311196,2650.675602311196,5151.333306208186,,,4384.8309208572955,,769.7910873708475,,441.9196290505016,,4384.8309208572955,,1260.6937661381571,,522.3307944011752,522.3307944011752,806.0159537629055,806.0159537629055,1468.7946866230889,,644.3264317751682,715.9058620235973,994.2703121075014,994.2703121075014,558.5246559695574,,515.818357835032,1432.6667211420954,795.9664696855765,795.9664696855765,51.32497229224026,,769.7910873708475,,1158.8938919419184,1158.8938919419184,1788.3063841681017,1788.3063841681017,,1955.9732804231985,2414.7195985996987,2414.7195985996987,2414.7195985996987,,4068.596807922735,5022.83018303477,5022.83018303477,,1117.8127093029952,1304.070614995905,966.0470075132783,724.6015700009231,,1117.8127093029952,1117.8127093029952,966.0470075132783,724.6015700009231,,1564.8316817669963,1564.8316817669963,2414.7195985996987,966.0470075132783,,1306.96601779828,1089.1760088165274,2016.800117240791,2016.800117240791,,1306.96601779828,1306.96601779828,2016.800117240791,2016.800117240791,,10047.876765942678,7233.443651746777,10047.876765942678,3722.048367432926,3722.048367432926,3722.048367432926,7233.443651746777,,,1808.570373420898,6504.3208178727855,1808.570373420898,2009.4616148571042,2009.4616148571042,1507.2335084877068,1831.0540464535015,,,1260.6937661381571,3526.6200180912742,1260.6937661381571,1089.530300895098,1089.530300895098,817.2247845994948,1489.0438165150779,,,1249.4537785218913,2496.731155957967,1249.4537785218913,1928.0515355533043,1156.917720343117,1156.917720343117,3513.4716632831455,,,981.402602498862,1961.092031615367,981.402602498862,1514.4155964449083,1514.4155964449083,1514.4155964449083,2759.7034271684297,,,775.663443099977,1549.9788473015467,775.663443099977,718.2166421163894,718.2166421163894,1196.9399818997936,2181.175926036535,,,624.8065952610568,998.8535291309122,624.8065952610568,771.345393063828,771.345393063828,771.345393063828,1405.6146110676311,
"Channels backward, no-smear3",,14310.598719951107,14310.598719951107,5300.658148066288,5300.658148066288,10301.97351186012,,,14310.598719951107,9540.630186376056,5300.658148066288,5300.658148066288,10301.97351186012,,,14310.598719951107,9540.630186376056,5300.658148066288,5300.658148066288,10301.97351186012,,,8769.238213259972,,1154.5917716421645,,662.8256730018257,,8769.238213259972,,1890.8865183728738,,783.4500888644667,783.4500888644667,1208.9778263156445,1208.9778263156445,2203.1459242849523,,966.4338671409787,1073.8030119774014,1491.3496857510963,1491.3496857510963,837.7684576434344,,773.6819608386259,2148.954502933313,1193.9041270392163,1193.9041270392163,76.98569793480485,,1154.5917716421645,,1738.239481487407,1738.239481487407,2682.3582163564483,2682.3582163564483,,2933.827273569541,3621.9467489340564,3621.9467489340564,3621.9467489340564,,6102.620579416902,7533.970638170312,7533.970638170312,,1676.58642438262,1955.9732804231985,1448.937874446404,1086.7697249209346,,1676.58642438262,1676.58642438262,1448.937874446404,1086.7697249209346,,2347.114878082577,2347.114878082577,3621.9467489340564,1448.937874446404,,1960.336041270146,1633.6510299688712,3025.0871866158723,3025.0871866158723,,1960.336041270146,1960.336041270146,3025.0871866158723,3025.0871866158723,,20094.780623893577,14465.914413852615,20094.780623893577,7443.123906952532,7443.123906952532,7443.123906952532,14465.914413852615,,,2712.580953399158,9756.206586629321,2712.580953399158,3013.917810920462,3013.917810920462,2260.575665262745,2746.3064623796045,,,1890.8865183728738,5289.77588285103,1890.8865183728738,1634.1413237984086,1634.1413237984086,1225.683057428352,2233.411590727344,,,1874.0721686334662,3744.9882295565817,1874.0721686334662,2891.968800495013,1735.2680822026339,1735.2680822026339,5270.098989032808,,,1472.016835659259,2941.5509750472097,1472.016835659259,2271.5363235567147,2271.5363235567147,2271.5363235567147,4139.468067131828,,,1163.4293482011838,2324.902451403282,1163.4293482011838,1077.2591472221711,1077.2591472221711,1795.3441542175892,3271.698068607013,,,937.1656113299033,1498.2360108293155,937.1656113299033,1156.9738073711717,1156.9738073711717,1156.9738073711717,2108.377633104028,
"Channels backward, no-smear4",,28620.504309573727,28620.504309573727,10600.623194271158,10600.623194271158,20603.253899857915,,,28620.504309573727,19080.56725075056,10600.623194271158,10600.623194271158,20603.253899857915,,,28620.504309573727,19080.56725075056,10600.623194271158,10600.623194271158,20603.253899857915,,,17538.052787823082,,1924.1931339488854,,1104.637757415336,,17538.052787823082,,3151.2720127948655,,1305.6886756205524,1305.6886756205524,2014.9015700148148,2014.9015700148148,3671.8483988277135,,1610.6487352975146,1789.5973095663412,2485.5084313703824,2485.5084313703824,1396.2560606678828,,,,,,,,1924.1931339488854,,2896.9306558489093,2896.9306558489093,4470.461877672626,4470.461877672626,,4889.535255060916,6036.401045713372,6036.401045713372,6036.401045713372,,8136.644346788232,10045.11108995104,10045.11108995104,,2794.133846147517,3259.7786040836563,2414.7195985996987,1811.1060218133737,,2794.133846147517,2794.133846147517,2414.7195985996987,1811.1060218133737,,3911.681264714464,3911.681264714464,6036.401045713372,2414.7195985996987,,3267.07608300433,2722.601066020032,5041.661321982965,5041.661321982965,,3267.07608300433,3267.07608300433,5041.661321982965,5041.661321982965,,40188.588316266854,28930.855905350065,40188.588316266854,14885.274922420835,14885.274922420835,14885.274922420835,28930.855905350065,,,4520.602091119545,16259.978117949031,4520.602091119545,5022.83018303477,5022.83018303477,3767.259952131288,4576.81127226378,,,3151.2720127948655,8816.087608755946,3151.2720127948655,2723.3633579754173,2723.3633579754173,2042.59958758406,3722.1471306426047,,,3123.308943830835,6241.502374238896,3123.308943830835,4819.803327119454,2891.968800495013,2891.968800495013,8783.353638730738,,,2453.245297858902,4902.4688598435,2453.245297858902,3785.777775112199,3785.777775112199,3785.777775112199,6898.997345611584,,,1938.961155425732,3874.749658121138,1938.961155425732,1795.3441542175892,1795.3441542175892,2992.1524969186466,5452.742352698669,,,1561.8836417927025,2497.000973176252,1561.8836417927025,1928.2306346300104,1928.2306346300104,1928.2306346300104,3513.9036764271746,
"Channels backward, no-smear5",,,,,,,,,,,,,,,,,,,,,,,,,2693.7944938813216,,1546.4498404991725,,,,4411.657503381265,,1827.9272615478014,1827.9272615478014,2820.825313173438,2820.825313173438,5140.550873089399,,,,,,,,,,,,,,2693.7944938813216,,4055.6218284109505,4055.6218284109505,6258.565537827592,6258.565537827592,,6845.243234720015,8450.855341013887,8450.855341013887,8450.855341013887,,,,,,3911.681264714464,4563.583925007532,3380.5013190529257,2535.4423137715403,,3911.681264714464,3911.681264714464,3380.5013190529257,2535.4423137715403,,5476.2476490649415,5476.2476490649415,8450.855341013887,3380.5013190529257,,4573.8161227602595,3811.551099692947,7058.235456070325,7058.235456070325,,4573.8161227602595,4573.8161227602595,7058.235456070325,7058.235456070325,,,,,,,,,,,6328.623220362096,22763.7496469424,6328.623220362096,7031.742547520076,7031.742547520076,5273.94422883101,6407.316073781323,,,4411.657503381265,12342.399333294128,4411.657503381265,3812.5853877207524,3812.5853877207524,2859.516111832105,5210.882667312964,,,4372.54571711229,8738.01651794635,4372.54571711229,6747.637852514593,4048.669516720438,4048.669516720438,12296.60828776359,,,3434.473758490444,6863.38674384752,3434.473758490444,5300.019225641703,5300.019225641703,5300.019225641703,9658.526623496717,,,2714.492961515096,5424.596864260952,2714.492961515096,2513.429159987876,2513.429159987876,4188.960838894559,7633.786636380734,,,2186.6016716181684,3495.7659351295993,2186.6016716181684,2699.4874613683787,2699.4874613683787,2699.4874613683787,4919.429719464374,
