,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Facet side length [pixels],(undefined),49529.41114293534,49529.41114293534,18344.226349235312,18344.226349235312,18344.226349235312,(undefined),(undefined),49529.41114293534,33019.60742862356,18344.226349235312,18344.226349235312,18344.226349235312,(undefined),(undefined),49529.41114293534,33019.60742862356,18344.226349235312,18344.226349235312,18344.226349235312,(undefined),(undefined),49786.32786817273,(undefined),50532.086082067704,(undefined),51830.307821624876,(undefined),49786.32786817273,(undefined),51336.366146469685,(undefined),18765.29451551956,18765.29451551956,28958.787832591905,28958.787832591905,28958.787832591905,(undefined),12191.268640839186,13545.854045376871,18813.686174134542,18813.686174134542,16208.714242331302,(undefined),7022.1707371233715,19506.029825342695,10836.683236301496,10836.683236301496,9094.389641772457,(undefined),50532.086082067704,(undefined),71669.72996939953,71669.72996939953,110601.43513796221,110601.43513796221,(undefined),31790.93913833217,39248.07301028663,39248.07301028663,39248.07301028663,(undefined),12835.68947450488,15846.530215438122,15846.530215438122,(undefined),54498.75280856944,63581.87827666434,47097.68761234395,35323.26570925797,(undefined),54498.75280856944,54498.75280856944,47097.68761234395,35323.26570925797,(undefined),48322.22749026491,48322.22749026491,74571.3387195446,29828.535487817837,(undefined),73356.30731005316,61130.256091710966,113204.17794761292,113204.17794761292,(undefined),73356.30731005316,73356.30731005316,113204.17794761292,113204.17794761292,(undefined),49565.49615182431,11014.554700405399,49565.49615182431,18357.591167342336,18357.591167342336,18357.591167342336,18357.591167342336,(undefined),(undefined),42785.63158168294,71309.38596947156,42785.63158168294,47539.59064631437,47539.59064631437,35654.69298473578,23769.795323157185,(undefined),(undefined),51336.366146469685,66547.14130097922,51336.366146469685,44364.76086731948,44364.76086731948,33273.57065048961,33273.57065048961,(undefined),(undefined),72701.00210281096,67315.7426877879,72701.00210281096,112192.90447964653,67315.74268778792,67315.74268778792,112192.90447964653,(undefined),(undefined),69650.45796135353,64491.164779031045,69650.45796135353,107485.2746317184,107485.2746317184,107485.2746317184,107485.2746317184,(undefined),(undefined),76144.02004109681,70503.72226027482,76144.02004109681,117506.20376712468,70503.72226027481,117506.20376712468,117506.20376712468,(undefined),(undefined),87323.50561345277,64684.078232187225,87323.50561345277,107806.79705364538,107806.79705364538,107806.79705364538,107806.79705364538,(undefined)
Image side length [pixels],18344.226349235312,49529.41114293534,49529.41114293534,18344.226349235312,18344.226349235312,18344.226349235312,18344.226349235312,18344.226349235312,49529.41114293534,33019.60742862356,18344.226349235312,18344.226349235312,18344.226349235312,18344.226349235312,18344.226349235312,49529.41114293534,33019.60742862356,18344.226349235312,18344.226349235312,18344.226349235312,18344.226349235312,18439.380691915823,49786.32786817273,109174.26005385,294770.502145395,111979.0601084488,302343.4622928118,18439.380691915823,49786.32786817273,110911.90216829868,299462.1358544065,28958.78783259191,78188.72714799814,78188.72714799814,28958.78783259191,28958.78783259191,28958.78783259191,18813.686174134542,50796.95267016326,33864.63511344218,18813.686174134542,18813.686174134542,16208.714242331302,10836.683236301496,29259.044738014043,19506.02982534269,10836.683236301496,10836.683236301496,9094.389641772457,109174.26005385,294770.502145395,110601.43513796221,298623.874872498,298623.874872498,110601.43513796221,110601.43513796221,39248.07301028663,105969.7971277739,39248.07301028663,39248.07301028663,39248.07301028663,15846.530215438122,42785.63158168293,15846.530215438122,15846.530215438122,117744.2190308599,317909.3913833217,211939.5942555478,117744.2190308599,117744.2190308599,117744.2190308599,317909.3913833217,317909.3913833217,117744.2190308599,117744.2190308599,74571.3387195446,201342.61454277043,201342.61454277043,74571.3387195446,74571.3387195446,113204.17794761292,305651.28045855486,203767.52030570322,113204.17794761292,113204.17794761292,113204.17794761292,305651.28045855486,305651.28045855486,113204.17794761292,113204.17794761292,18357.591167342336,49565.4961518243,11014.5547004054,49565.4961518243,18357.591167342336,18357.591167342336,18357.591167342336,18357.591167342336,18357.591167342336,118848.97661578593,320892.236862622,71309.38596947156,320892.236862622,118848.97661578593,118848.97661578593,118848.97661578593,118848.97661578593,118848.97661578593,110911.90216829868,299462.1358544065,66547.14130097922,299462.1358544065,110911.90216829868,110911.90216829868,110911.90216829868,110911.90216829868,110911.90216829868,112192.90447964653,302920.84209504566,67315.74268778792,302920.84209504566,112192.90447964653,112192.90447964653,112192.90447964653,112192.90447964653,112192.90447964653,107485.27463171839,290210.2415056397,64491.16477903103,290210.2415056397,107485.27463171839,107485.27463171839,107485.27463171839,107485.27463171839,107485.27463171839,117506.20376712468,317266.7501712367,70503.72226027481,317266.7501712367,117506.20376712468,117506.20376712468,117506.20376712468,117506.20376712468,117506.20376712468,107806.79705364536,291078.35204484256,64684.07823218722,291078.35204484256,107806.79705364536,107806.79705364536,107806.79705364536,107806.79705364536,107806.79705364536
Grid side dimension [lambda],66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,174791.4390652257,174791.4390652257,1415464.0333548896,1415464.0333548896,2570240.836646485,2570240.836646485,174791.4390652257,174791.4390652257,2280750.557647197,2280750.557647197,420724.43380282907,420724.43380282907,420724.43380282907,420724.43380282907,420724.43380282907,420724.43380282907,414373.32873126614,414373.32873126614,414373.32873126614,414373.32873126614,414373.32873126614,388891.1071832905,259102.63975415684,259102.63975415684,259102.63975415684,259102.63975415684,259102.63975415684,237662.94450274046,1415464.0333548896,1415464.0333548896,17719168.954415604,17719168.954415604,17719168.954415604,17719168.954415604,17719168.954415604,799383.9604041552,799383.9604041552,799383.9604041552,799383.9604041552,799383.9604041552,133932.96960591213,133932.96960591213,133932.96960591213,133932.96960591213,2398151.881212466,2398151.881212466,2398151.881212466,2398151.881212466,2398151.881212466,2398151.881212466,2398151.881212466,2398151.881212466,2398151.881212466,2398151.881212466,1518829.524767895,1518829.524767895,1518829.524767895,1518829.524767895,1518829.524767895,15976115.014530089,15976115.014530089,15976115.014530089,15976115.014530089,15976115.014530089,15976115.014530089,15976115.014530089,15976115.014530089,15976115.014530089,15976115.014530089,72668.06529245574,72668.06529245574,43600.83917547343,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,1004497.2720443411,1004497.2720443411,602698.3632266046,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,2280750.557647197,2280750.557647197,1368450.3345883181,2280750.557647197,2280750.557647197,2280750.557647197,2280750.557647197,2280750.557647197,2280750.557647197,10378503.711903185,10378503.711903185,6227102.22714191,10378503.711903185,10378503.711903185,10378503.711903185,10378503.711903185,10378503.711903185,10378503.711903185,12799658.709708918,12799658.709708918,7679795.225825351,12799658.709708918,12799658.709708918,12799658.709708918,12799658.709708918,12799658.709708918,12799658.709708918,17857497.96242758,17857497.96242758,10714498.777456548,17857497.96242758,17857497.96242758,17857497.96242758,17857497.96242758,17857497.96242758,17857497.96242758,25584020.70958238,25584020.70958238,15350412.425749427,25584020.70958238,25584020.70958238,25584020.70958238,25584020.70958238,25584020.70958238,25584020.70958238
Baselines dimension [lambda],39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,104874.86343913543,104874.86343913543,849278.4200129338,849278.4200129338,1542144.501987891,1542144.501987891,104874.86343913543,104874.86343913543,1368450.3345883186,1368450.3345883186,252434.6602816974,252434.6602816974,252434.6602816974,252434.6602816974,252434.6602816974,252434.6602816974,248623.9972387597,248623.9972387597,248623.9972387597,248623.9972387597,248623.9972387597,233334.66430997435,155461.5838524941,155461.5838524941,155461.5838524941,155461.5838524941,155461.5838524941,142597.7667016443,849278.4200129338,849278.4200129338,10631501.372649362,10631501.372649362,10631501.372649362,10631501.372649362,10631501.372649362,479630.3762424932,479630.3762424932,479630.3762424932,479630.3762424932,479630.3762424932,80359.78176354729,80359.78176354729,80359.78176354729,80359.78176354729,1438891.1287274796,1438891.1287274796,1438891.1287274796,1438891.1287274796,1438891.1287274796,1438891.1287274796,1438891.1287274796,1438891.1287274796,1438891.1287274796,1438891.1287274796,911297.7148607371,911297.7148607371,911297.7148607371,911297.7148607371,911297.7148607371,9585669.008718053,9585669.008718053,9585669.008718053,9585669.008718053,9585669.008718053,9585669.008718053,9585669.008718053,9585669.008718053,9585669.008718053,9585669.008718053,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,6227102.227141909,6227102.227141909,6227102.227141909,6227102.227141909,6227102.227141909,6227102.227141909,6227102.227141909,6227102.227141909,6227102.227141909,7679795.22582535,7679795.22582535,7679795.22582535,7679795.22582535,7679795.22582535,7679795.22582535,7679795.22582535,7679795.22582535,7679795.22582535,10714498.777456548,10714498.777456548,10714498.777456548,10714498.777456548,10714498.777456548,10714498.777456548,10714498.777456548,10714498.777456548,10714498.777456548,15350412.42574943,15350412.42574943,15350412.42574943,15350412.42574943,15350412.42574943,15350412.42574943,15350412.42574943,15350412.42574943,15350412.42574943
Epsilon (approx),0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.6666666666666672,0.6666666666666672,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637
Qbw,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,2.2049999999999983,2.2049999999999983,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Station/antenna diameter,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,13.5,13.5,13.5,13.5,38,38,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,38,38,38,38,38,38,38,38,38,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
-- Time Coalescing --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time full0 [s],29.7,10.8,10.8,29.7,29.7,15.3,15.3,29.7,10.8,16.2,29.7,29.7,15.3,15.3,29.7,10.8,16.2,29.7,29.7,15.3,15.3,29.7,10.8,6.0200000000000005,2.24,6.0200000000000005,2.24,29.7,10.8,6.0200000000000005,2.24,5.980031326835396,2.27810717212777,2.27810717212777,5.980031326835396,5.980031326835396,3.2814333154255713,5.809526670329971,1.7875466677938372,3.128206668639215,5.809526670329971,5.809526670329971,3.4345001413553704,6.08135726042674,2.2805089726600274,3.04067863021337,6.08135726042674,6.08135726042674,3.642688648104104,6.0200000000000005,2.24,6.0200000000000005,2.24,2.24,6.0200000000000005,6.0200000000000005,5.907094819882911,2.1878128962529297,5.907094819882911,5.907094819882911,5.907094819882911,5.444051941858186,1.6332155825574557,5.444051941858186,5.444051941858186,5.880000000000001,2.1,3.22,5.880000000000001,5.880000000000001,5.880000000000001,2.1,2.1,5.880000000000001,5.880000000000001,5.880000000000001,2.1,2.1,5.880000000000001,5.880000000000001,6.0200000000000005,2.1,3.22,6.0200000000000005,6.0200000000000005,6.0200000000000005,2.1,2.1,6.0200000000000005,6.0200000000000005,29.7,10.8,15.3,10.8,29.7,29.7,29.7,15.3,15.3,5.74,2.1,4.48,2.1,5.74,5.74,5.74,3.22,3.22,6.0200000000000005,2.24,4.62,2.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,6.0200000000000005,2.24,4.62,2.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,6.16,2.24,4.760000000000001,2.24,6.16,6.16,6.16,3.3600000000000003,3.3600000000000003,5.880000000000001,2.1,4.48,2.1,5.880000000000001,5.880000000000001,5.880000000000001,3.22,3.22,6.16,2.24,4.760000000000001,2.24,6.16,6.16,6.16,3.3600000000000003,3.3600000000000003
