,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [blcoal] [spbf],37cDPrepA [blcoal] [spbf],37cDPrepB [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
Frequencies backward kernels6,,,271.95320851698364,609.5754975728016,111.39069006260385,424.0895669358611,,,,,,,,,,,,,61.601876555457764,60.37895558917256,55.334061411088946,166.6239716844251,,,,,,,,,49.40955266273662,45.41792650171272,45.256725804205566,126.41023549159091,119.24505149450464,111.25855722819291,,,145.86154240814412,162.8358226856452,153.85002255688704,150.80037334129767,162.8358226856452,153.85002255688704,145.86154240814412,162.8358226856452,153.85002255688704,112.97218044105088,112.96513520340805,109.42761460364713,117.07216586018171,112.96513520340805,109.42761460364713
Frequencies backward kernels7,,,285.3142329003052,686.8669274401967,115.35649275300564,515.7981241371111,,,,,,,,,,,,,,,,,,,,,,,,,53.73633613860863,47.783538770146684,47.53879833176812,,,,,,159.41184564742997,183.80313054638944,170.98722936999323,166.59056243063804,183.80313054638944,170.98722936999323,159.41184564742997,183.80313054638944,170.98722936999323,119.03203232528908,119.0213596175556,113.62461713265559,125.19685940350521,119.0213596175556,113.62461713265559
Frequencies backward kernels8,,,296.16061284852293,746.1625982616923,118.61140132066681,582.4837043048234,,,,,,,,,,,,,,,,,,,,,,,,,57.14735734414257,49.699418548719336,49.38945761486042,,,,,,170.0531232074122,199.8666325744165,184.27135040874927,178.88741562192158,199.8666325744165,184.27135040874927,170.0531232074122,199.8666325744165,184.27135040874927,123.93380105608003,123.92030533351246,117.06150865859888,131.68913546816685,123.92030533351246,117.06150865859888
Frequencies backward kernels9,,,311.4225264747106,825.7225483763596,123.24015035924279,668.78412477546,,,,,,,,,,,,,,,,,,,,,,,,,61.823769446123606,52.38930986848369,51.99098829811758,,,,,,184.59547284479507,221.39781882069389,221.39781419456438,195.57884040390917,221.39781882069389,221.39781419456438,184.59547284479507,221.39781882069389,221.39781419456438,130.80799864664925,130.7906888643194,121.93819581476501,140.69376684990695,130.7906888643194,121.93819581476501
Frequencies backward kernels10,,,346.7818190774072,905.1021825407877,128.12677292347033,752.4139584848382,,,,,,,,,,,,,,,,,,,,,,,,,66.58123088691096,55.19078891569722,54.70390570583354,,,,,,199.3457416998005,267.9907262821344,267.9907262821344,212.40407111028406,267.9907262821344,267.9907262821344,199.3457416998005,267.9907262821344,267.9907262821344,137.95892366424331,137.93780127356362,127.07418315036368,149.95732800398557,137.93780127356362,127.07418315036368
Frequencies backward kernels11,,,389.9023918392926,983.8697700125551,133.21099583088852,833.7022653997371,,,,,,,,,,,,,,,,,,,,,,,,,71.37420996163137,58.06981238711528,57.49508019006338,,,,,,214.17045229623432,320.9461603322812,320.9461603322812,229.23133637978586,320.9461603322812,320.9461603322812,214.17045229623432,320.9461603322812,320.9461603322812,145.30012926473805,145.275233058464,132.40590544388354,159.3766078917865,145.275233058464,132.40590544388354
Frequencies backward grid0,559.1337152950158,65536.0,1005.0053854489457,65536.0,1034.9988790363216,65536.0,429.9899422466631,265.6907959636134,500.0,1500.0,358.44033998018244,265.6907959636134,500.0,1500.0,358.44033998018244,265.6907959636134,500.0,1500.0,261.21149632239513,403.0540788670101,500.0,3200.0,500.0,497.1909356825173,100.0,5000.0,500.0,398.02881001253394,398.02881001253394,2500.0,322.42065370364355,398.02881001253394,500.0,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,652.167937578682,1207.4924417886202,1207.4924417886202,652.167937578682,1207.4924417886202,1207.4924417886202,652.167937578682,1207.4924417886202,1207.4924417886202,726.1926570419781,1008.5130422414231,1008.5130422414231,816.9384956364858,1008.5130422414231,1008.5130422414231
Frequencies backward grid1,1117.2953217949262,65536.0,1507.2335084877068,65536.0,1552.3826770323226,65536.0,859.2872958419088,530.6893485112236,795.6877005716108,1500.0,716.1882027630096,530.6893485112236,795.6877005716108,1500.0,716.1882027630096,530.6893485112236,795.6877005716108,1500.0,391.7711462657152,604.5350169007022,604.5350169007022,3200.0,536.9572860809892,745.7306245903046,100.0,5000.0,500.0,596.9976404288616,596.9976404288616,2500.0,483.585407325264,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,978.1192792840136,1811.1060218133737,1811.1060218133737,978.1192792840136,1811.1060218133737,1811.1060218133737,978.1192792840136,1811.1060218133737,1811.1060218133737,1089.1760088165274,1512.656581147074,1512.656581147074,1225.2947645381312,1512.656581147074,1512.656581147074
Frequencies backward grid2,2233.6181120846836,65536.0,2009.4616148571042,65536.0,2069.7664721575957,65536.0,1717.881724030251,1060.6860024120756,1590.6825558293533,1500.0,1431.683593715042,1060.6860024120756,1590.6825558293533,1500.0,1431.683593715042,1060.6860024120756,1590.6825558293533,1500.0,522.3307944011752,806.0159537629055,806.0159537629055,3200.0,715.9058620235973,994.2703121075014,100.0,5000.0,573.1213808637368,795.9664696855765,795.9664696855765,2500.0,644.7501595153672,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,1304.070614995905,2414.7195985996987,2414.7195985996987,1304.070614995905,2414.7195985996987,2414.7195985996987,1304.070614995905,2414.7195985996987,2414.7195985996987,1452.1593566854401,2016.800117240791,2016.800117240791,1633.6510299688712,2016.800117240791,2016.800117240791
Frequencies backward grid3,4466.26348098825,65536.0,3013.917810920462,65536.0,3104.5340595364714,65536.0,3435.07044070933,2120.6790841007632,3180.6721154882,2060.949145519562,2862.67420802834,2120.6790841007632,3180.6721154882,2060.949145519562,2862.67420802834,2120.6790841007632,3180.6721154882,2060.949145519562,783.4500888644667,1208.9778263156445,1208.9778263156445,3200.0,1073.8030119774014,1491.3496857510963,100.0,5000.0,859.6364949340269,1193.9041270392163,1193.9041270392163,2500.0,967.0796624647984,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1955.9732804231985,3621.9467489340564,3621.9467489340564,1955.9732804231985,3621.9467489340564,3621.9467489340564,1955.9732804231985,3621.9467489340564,3621.9467489340564,2178.126048514747,3025.0871866158723,3025.0871866158723,2450.3635573561846,3025.0871866158723,3025.0871866158723
Frequencies backward grid4,8931.554112875032,65536.0,5022.83018303477,65536.0,5174.069230853,65536.0,6869.447804173029,4240.66513429434,6360.65115931682,4121.205260413133,5724.655352792174,4240.66513429434,6360.65115931682,4121.205260413133,5724.655352792174,4240.66513429434,6360.65115931682,4121.205260413133,1305.6886756205524,2014.9015700148148,2014.9015700148148,3200.0,1789.5973095663412,2485.5084313703824,100.0,5000.0,,,,,1611.7386666437208,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,3259.7786040836563,6036.401045713372,6036.401045713372,3259.7786040836563,6036.401045713372,6036.401045713372,3259.7786040836563,6036.401045713372,6036.401045713372,3630.0594274868595,5041.661321982965,5041.661321982965,4083.788607959765,5041.661321982965,5041.661321982965
Frequencies backward grid5,,,7031.742547520076,65536.0,7243.604400849842,65536.0,,,,,,,,,,,,,1827.9272615478014,2820.825313173438,2820.825313173438,3200.0,,,,,,,,,2256.3976701657107,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,4563.583925007532,8450.855341013887,8450.855341013887,4563.583925007532,8450.855341013887,8450.855341013887,4563.583925007532,8450.855341013887,8450.855341013887,5081.992804669026,7058.235456070325,7058.235456070325,5717.21365697514,7058.235456070325,7058.235456070325
Frequencies backward grid6,,,11049.567270263373,65536.0,11382.674739763022,65536.0,,,,,,,,,,,,,2089.046554398382,3223.787184677295,3223.787184677295,3200.0,,,,,,,,,3545.715676687566,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,7171.194564597031,13279.763930416846,13279.763930416846,7171.194564597031,13279.763930416846,13279.763930416846,7171.194564597031,13279.763930416846,13279.763930416846,7985.859557579737,11091.383723198613,11091.383723198613,8984.063753727927,11091.383723198613,11091.383723198613
Frequencies backward grid7,,,15067.391990198219,65536.0,15521.745078190484,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,4835.0336829480575,5969.156003228102,5969.156003228102,,,,,,9778.805203194423,18108.672519208772,18108.672519208772,9778.805203194423,18108.672519208772,18108.672519208772,9778.805203194423,18108.672519208772,18108.672519208772,10889.726309842874,15124.531989867131,15124.531989867131,12250.91384989669,15124.531989867131,15124.531989867131
Frequencies backward grid8,,,18080.76052947859,65536.0,18626.047831869946,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,5802.02218761939,7162.968971877786,7162.968971877786,,,,,,11734.513181907203,21730.353960832246,21730.353960832246,11734.513181907203,21730.353960832246,21730.353960832246,11734.513181907203,21730.353960832246,21730.353960832246,13067.626373872286,18149.39318963302,18149.39318963302,14701.051421855485,18149.39318963302,18149.39318963302
Frequencies backward grid9,,,22098.585247986757,65536.0,22765.118170239723,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,7091.340193737987,8754.719596739762,8754.719596739762,,,,,,14342.123819976441,26559.262549210896,26559.262549210896,14342.123819976441,26559.262549210896,26559.262549210896,14342.123819976441,26559.262549210896,26559.262549210896,15971.493125857936,22182.5414561377,22182.5414561377,17967.901517736373,22182.5414561377,22182.5414561377
Frequencies backward grid10,,,26116.409966266117,65536.0,26904.188508167405,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,8380.658199914396,10346.470221536132,10346.470221536132,,,,,,16949.734457906787,31388.171137799913,31388.171137799913,16949.734457906787,31388.171137799913,31388.171137799913,16949.734457906787,31388.171137799913,31388.171137799913,18875.359877643317,26215.689722525978,26215.689722525978,21234.75161354068,26215.689722525978,26215.689722525978
Frequencies backward grid11,,,30134.234684264968,65536.0,31043.258846574812,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,9669.976205977098,11938.220846287122,11938.220846287122,,,,,,19557.345095862493,36217.0797262356,36217.0797262356,19557.345095862493,36217.0797262356,36217.0797262356,19557.345095862493,36217.0797262356,36217.0797262356,21779.22662946886,30248.837988860792,30248.837988860792,24501.601709168484,30248.837988860792,30248.837988860792
Frequencies backward fft,100,65536,100,65536,100,65536,20,20,20,65536,20,20,20,65536,20,20,20,65536,20,20,20,65536,20,20,20,65536,20,20,20,65536,20,100,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Channels out,500,65536,500,65536,500,65536,20,20,500,1500,20,20,500,1500,20,20,500,1500,20,20,500,3200,500,20,20,65536,500,20,300,65536,20,20,500,20,20,500,500,700,500,20,700,20,20,700,20,20,700,20,20,1000,20,20,1000
Visibilities ingest [1/s],9563013120.0,9563013120.0,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,2441323970.1003394,2441323970.1003394,3902307504.987704,7111502469.689801,2339668469.8761554,2339668469.8761554,3570050.7658022386,301940665.08576727,1256607169.137975,1256607169.137975,1256607169.137975,80027283.72930248,9129632914.2857113,9129632914.2857113,9129632914.2857113,5083465492.930651,5083465492.930651,5083465492.930651,1837603045.5608811,1837603045.5608811,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113,9129632914.2857113
Visibilities averaged [1/s],2172059316.6796484,9563013120.0,9129632914.285711,9129632914.285711,4324547694.891061,9129632914.285711,4176303988.8529987,1546842936.5080473,1546842936.5080473,3006426809.067266,2784236373.2295218,1546842936.5080473,1546842936.5080473,3006426809.067266,2784236373.2295218,1546842936.5080473,1546842936.5080473,3006426809.067266,518279302.4006185,191958754.35256025,191958754.35256025,637502759.7898726,159717856.55765587,88733912.78821754,3570050.7658022386,301940665.08576727,41204706.33754478,22892280.35432273,22892280.35432273,80027283.72930248,4490292890.902244,1663079436.8938406,1663079436.8938406,693509625.6202189,693509625.6202189,693509625.6202189,281660869.3220735,281660869.3220735,9081506650.686779,5045297899.291234,5045297899.291234,9129632914.285711,5045297899.291234,5045297899.291234,9081506650.686779,5045297899.291234,5045297899.291234,7584957365.175866,4213879194.9767995,4213879194.9767995,9129632914.285711,4213879194.9767995,4213879194.9767995
Visibilities pred0 [1/s],3610566.5099345464,423194095.29833394,1193049.3754058974,77798273.52036893,2089549.107053146,241609545.09431344,2776629.70880828,1715679.5658403873,3228714.7163264,9686144.1489792,2314603.2012381065,1715679.5658403873,3228714.7163264,9686144.1489792,2314603.2012381065,1715679.5658403873,3228714.7163264,9686144.1489792,326677.6374531415,800110.3533410244,992559.5537826391,3798743.8242367646,758969.9599933313,1015950.3430569423,118710.7445073989,5935537.225369944,780817.4354753743,776969.5866982543,776969.5866982543,8147192.635389234,512608.87293377344,784888.6440528558,985969.6387657713,1741758.0563496475,1741758.0563496475,1741758.0563496475,5476886.68607576,5476886.68607576,774193.4141382019,2437794.6726493896,2437794.6726493896,774193.4141382019,2437794.6726493896,2437794.6726493896,774193.4141382019,2437794.6726493896,2437794.6726493896,1070892.8071212347,1988726.47989869,1988726.47989869,1385419.6719108808,1988726.47989869,1988726.47989869
Visibilities pred1 [1/s],1948188.6617438558,158712256.14297408,155867.57801505036,6404525.888544086,387007.8512690362,30497742.32640041,1498309.116922096,925344.4022453029,1387412.7335039307,2615497.38516864,1248792.2477435197,925344.4022453029,1387412.7335039307,2615497.38516864,1248792.2477435197,925344.4022453029,1387412.7335039307,2615497.38516864,64535.18735265695,148189.11920900785,148189.11920900785,343080.4341058611,117421.97942730166,181196.21704828803,9772.53095786146,616503.6018024617,85704.8235724554,153496.73233838324,153496.73233838324,1073111.8579621383,101268.28636834685,143698.96361727323,143698.96361727323,322592.71539145755,322592.71539145755,322592.71539145755,966078.3365484156,966078.3365484156,136552.87053263088,451507.3894423598,451507.3894423598,136552.87053263088,451507.3894423598,451507.3894423598,136552.87053263088,451507.3894423598,451507.3894423598,202742.97647084759,377104.16499675135,377104.16499675135,256590.6646918812,377104.16499675135,377104.16499675135
Visibilities pred2 [1/s],3988616.360699523,325080391.118371,157352.89032180523,3592303.1625583977,385893.14797792333,23326643.91271687,4090207.490792399,1894088.1254034978,2840513.5293869544,2678579.88287232,2556585.9151756396,1894088.1254034978,2840513.5293869544,2678579.88287232,2556585.9151756396,1894088.1254034978,2840513.5293869544,2678579.88287232,60326.171830483516,155150.26571286368,155150.26571286368,269407.6860422816,117082.04723423993,203258.57389392328,8177.195735155242,518695.9683725497,82653.09594610172,143488.56800991428,143488.56800991428,752386.513112494,94664.6296809231,148402.25252641633,148402.25252641633,334035.04365990317,334035.04365990317,334035.04365990317,1011461.3236715904,1011461.3236715904,139249.83614981308,450207.19000064774,450207.19000064774,145880.78072837563,450207.19000064774,450207.19000064774,139249.83614981308,450207.19000064774,450207.19000064774,206750.51402539833,376017.9501183044,376017.9501183044,274124.29006805224,376017.9501183044,376017.9501183044
Visibilities pred3 [1/s],22203233.20867935,814501371.0890816,650644.8356093522,9853013.835914573,1555837.8622782843,65686758.90609715,20492208.865322206,7028385.504720089,15812144.76959197,5122820.75430467,10673456.119173128,7028385.504720089,15812144.76959197,5122820.75430467,10673456.119173128,7028385.504720089,15812144.76959197,5122820.75430467,324289.13217627234,595744.5937325673,595744.5937325673,689672.4381988923,472042.60092200694,819494.5635906133,21979.943977468618,1394232.0442634032,444312.24682023533,771352.5256007435,771352.5256007435,2696509.323934977,407107.81898730947,598325.2910600234,598325.2910600234,1296876.5905214627,1296876.5905214627,1296876.5905214627,4531107.721096022,4531107.721096022,588141.8394375303,1815139.3346248912,1815139.3346248912,548932.3834750282,1815139.3346248912,1815139.3346248912,588141.8394375303,1815139.3346248912,1815139.3346248912,873254.6424308975,1516023.046090397,1516023.046090397,1031520.155246334,1516023.046090397,1516023.046090397
